,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Caguas,"(18.24721718, -66.37052155)","(18.26375771, -66.37055206)","(18.25662994, -66.37059021)","(18.27383995, -66.3705368)","(18.1464901, -66.54896545)","(18.22757721, -66.04398346)","(18.20150566, -66.3706131)","(18.26129723, -66.03705597)","(18.20105743, -66.03704834)","(18.21409988, -66.03704834)","(18.202631, -66.03705597)"
San Jose,"(37.22893143, -121.7870865)","(37.33831024, -121.9202194)","(37.29223251, -121.881279)","(37.31164169, -121.8714294)","(37.26665497, -121.9148026)","(37.32126236, -121.8787766)","(37.3335495, -121.7909698)","(37.32554245, -121.7993469)","(37.37883377, -121.8303375)","(37.26665497, -121.9148026)","(37.26375961, -121.8059616)"
Los Angeles,"(33.97248077, -118.3256226)","(34.06435013, -118.437088)","(34.03383637, -118.4543915)","(34.09106064, -118.3208466)","(34.20339966, -118.6059036)","(33.98764038, -118.2705536)","(34.13654709, -118.2666016)","(34.11491013, -118.2400131)","(34.11491013, -118.2400131)","(34.02246857, -118.1672974)","(34.13660812, -118.2666397)"
Tonawanda,"(43.01396942, -78.87906647)","(43.01396942, -78.87906647)","(43.01396942, -78.87906647)","(43.01396942, -78.87906647)","(43.0711174, -78.77121735)","(43.01396942, -78.87906647)",,"(43.01396942, -78.87906647)",,"(43.01396942, -78.87906647)","(43.01396942, -78.87906647)"
Miami,"(25.74022484, -80.36169434)","(25.88852501, -80.17294312)","(25.8500824, -80.19795227)","(25.86193085, -80.1975174)","(25.92886925, -80.16287231)","(25.81747246, -80.19565582)","(25.58456993, -80.37361145)","(25.58456993, -80.37361145)","(25.74613953, -80.39176178)","(25.84147453, -80.22612763)","(25.74613953, -80.39176178)"
San Ramon,"(37.77399063, -121.966629)","(37.77399063, -121.966629)","(37.77399063, -121.966629)","(37.77399063, -121.966629)","(37.77399063, -121.966629)","(37.77399063, -121.966629)",,"(37.70582962, -121.9376907)",,,
Freeport,"(40.65486527, -73.58707428)","(42.82601929, -85.31741333)","(40.65486527, -73.58707428)","(40.65486527, -73.58707428)","(40.65486527, -73.58707428)","(40.65486527, -73.58707428)","(40.65687943, -73.58428192)",,"(40.65486527, -73.58707428)",,
Salinas,"(36.82228851, -121.5697632)","(36.71306229, -121.657959)","(36.83275986, -121.5656433)","(36.68344116, -121.6128922)","(36.68344116, -121.6128922)","(36.71306229, -121.657959)","(36.70795059, -121.6539993)","(36.65274429, -121.6612625)","(36.65274429, -121.6612625)",,"(36.68344116, -121.6128922)"
Peabody,"(42.52627564, -70.92703247)","(42.52627564, -70.92703247)","(42.52627564, -70.92703247)","(42.52627564, -70.92703247)","(42.52627564, -70.92703247)","(34.00696564, -118.0692978)","(42.54164505, -70.97937775)","(42.52627564, -70.92703247)","(42.52627564, -70.92703247)",,
Canovanas,"(39.49591446, -98.98998261)","(39.49591446, -98.98998261)","(18.3957901, -65.87288666)","(39.49591446, -98.98998261)",,"(18.3957901, -65.87288666)",,,,,
