Order,Department ID,Best Coordinates,Best Shipping Mode,Shipping Days,Best Fitness Values
{180517},2,"[(42.28635407, -71.65921783)]",Same Day,2,"(11433.42, 5.6, 8635.41)"
{179254},2,"[(42.52627564, -70.92703247)]",Same Day,6,"(11358.63, 2.6, 8635.41)"
{179253},2,"[(42.46523285, -70.93743134)]",Same Day,3,"(11407.35, 2.6, 8635.41)"
{179252},2,"[(42.28635407, -71.65921783)]",Same Day,7,"(11433.42, 2.6, 8635.41)"
{179251},2,"[(47.84322357, -122.2460785)]",Same Day,4,"(11477.4, 3.6, 8635.41)"
{179250},2,"[(41.55907822, -72.65383911)]",Same Day,8,"(11453.96, 2.6, 8635.41)"
{179249},2,"[(42.00220108, -71.51410675)]",Same Day,4,"(11440.41, 2.6, 8635.41)"
{179248},2,"[(42.39771652, -71.10455322)]",Same Day,9,"(11358.63, 3.6, 8635.41)"
{179247},2,"[(42.00220108, -71.51410675)]",Same Day,4,"(11433.42, 2.6, 8635.41)"
{179246},2,"[(41.92736816, -70.7484436)]",Same Day,7,"(11586.5, 2.6, 8635.41)"
{179245},2,"[(42.00220108, -71.51410675)]",Same Day,10,"(11344.63, 3.6, 8635.41)"
{179244},2,"[(47.68619156, -122.1272049)]",Same Day,6,"(11614.21, 3.6, 8635.41)"
{179243},2,"[(42.41848373, -71.00032044)]",Same Day,6,"(11378.45, 2.6, 8635.41)"
{179242},2,"[(42.29163361, -71.06265259)]",Same Day,8,"(11477.4, 3.6, 8635.41)"
{179241},2,"[(41.92736816, -70.7484436)]",Same Day,9,"(11358.63, 3.6, 8635.41)"
{179240},2,"[(41.8719368, -71.38621521)]",Same Day,6,"(11358.63, 2.6, 8635.41)"
{179239},2,"[(47.84322357, -122.2460785)]",Same Day,3,"(11453.96, 2.6, 8635.41)"
{179238},2,"[(42.52627564, -70.92703247)]",Same Day,9,"(11371.98, 4.6, 8635.41)"
{179237},2,"[(43.18824005, -77.56706238)]",Same Day,8,"(11358.63, 2.6, 8635.41)"
{179236},2,"[(47.30304337, -122.3528137)]",Same Day,1,"(11364.85, 2.6, 8635.41)"
{179235},2,"[(42.26028061, -70.99477387)]",Same Day,10,"(11440.94, 3.6, 8635.41)"
{179234},2,"[(41.8719368, -71.38621521)]",Same Day,9,"(11456.68, 2.6, 8635.41)"
{179233},2,"[(42.28635407, -71.65921783)]",Same Day,5,"(11358.63, 2.6, 8156.61)"
{179232},2,"[(42.77627945, -71.15115356)]",Same Day,2,"(11642.56, 2.6, 8635.41)"
{179231},2,"[(41.92736816, -70.7484436)]",Same Day,3,"(11376.45, 2.6, 8635.41)"
{179230},2,"[(42.52627564, -70.92703247)]",Same Day,3,"(11529.74, 2.6, 8635.41)"
{179229},2,"[(42.34962845, -71.15328217)]",Same Day,8,"(11364.85, 2.6, 8635.41)"
{179228},2,"[(41.92736816, -70.7484436)]",Same Day,8,"(11476.41, 4.6, 8635.41)"
{179227},2,"[(42.06258011, -71.01766205)]",Same Day,8,"(11456.68, 2.6, 8635.41)"
{179226},2,"[(40.76861954, -73.90949249)]",Same Day,3,"(11348.3, 3.6, 8635.41)"
