Category Name,Customer City,Customer Id,Department Id,Department Name,Latitude,Longitude,Order City,Order Id,Order Item Quantity,shipping date (DateOrders),order_latitude,order_longitude
Garden,Louisville,28630,3,Golf,47.67869949,-118.2007599,,9838,700,2016-04-04 21:20:00,38.2542376,-85.759407
Cardio Equipment,Columbus,4663,3,Footwear,32.52082825,-84.88657379,Columbus,31411,100,2016-04-05 12:19:00,39.9622601,-83.0007065
Cardio Equipment,Columbus,4663,3,Footwear,32.52082825,-84.88657379,Columbus,31411,400,2016-04-05 12:19:00,39.9622601,-83.0007065
Cardio Equipment,Columbus,4663,3,Footwear,32.52082825,-84.88657379,Columbus,31411,500,2016-04-05 12:19:00,39.9622601,-83.0007065
Lacrosse,Houston,69754,3,Outdoors,40.7018013,-118.1542206,,5655,200,2016-04-05 12:19:00,29.7589382,-95.3676974
Electronics,Newark,54514,3,Apparel,41.895607,-80.17294312,,1589,700,2016-04-05 12:19:00,40.735657,-74.1723667
Computers,San Diego,69163,3,Fan Shop,41.96846008,-118.4061966,,5056,800,2016-04-05 12:19:00,32.7174202,-117.1627728
Health and Beauty,Aurora,94034,3,Footwear,40.7018013,-80.17294312,,5068,600,2016-04-05 12:19:00,41.7571701,-88.3147539
Women's Golf Clubs,Columbus,11233,3,Golf,37.71640396,-97.69873047,,3071,800,2016-04-05 12:19:00,39.9622601,-83.0007065
Baby,Seattle,86229,3,Apparel,32.52082825,-87.70032501,,7936,900,2016-04-05 12:19:00,47.6038321,-122.330062
Fishing,Los Angeles,39947,3,Outdoors,29.71482086,-118.3382416,,4929,1000,2016-04-05 12:19:00,34.0536909,-118.242766
Fitness Accessories,Aurora,3151,3,Footwear,39.70932007,-104.8145828,Aurora,31402,500,2016-04-06 09:10:00,41.7571701,-88.3147539
As Seen on TV!,Louisville,84847,3,Fan Shop,41.83272171,-83.07437134,,5706,400,2016-04-06 09:10:00,38.2542376,-85.759407
Men's Clothing,Houston,80210,3,Fan Shop,32.71385574,-118.2400131,,2698,400,2016-04-06 09:10:00,29.7589382,-95.3676974
Consumer Electronics,Seattle,94550,3,Apparel,30.35012245,-118.1886444,,4099,700,2016-04-06 09:10:00,47.6038321,-122.330062
Hunting & Shooting,Austin,58736,3,Golf,34.11491013,-98.579216,,5751,400,2016-04-06 09:10:00,30.2711286,-97.7436995
Basketball,Columbus,66372,3,Fan Shop,30.35012245,-122.3217621,,5993,700,2016-04-08 08:17:00,39.9622601,-83.0007065
Indoor/Outdoor Games,Seattle,45769,3,Fan Shop,34.03800583,-117.1392975,,9068,600,2016-04-08 08:17:00,47.6038321,-122.330062
Golf Shoes,Houston,61848,3,Footwear,41.96846008,-87.65660858,,2337,100,2016-04-08 08:17:00,29.7589382,-95.3676974
Indoor/Outdoor Games,Chicago,68004,3,Apparel,37.71640396,-87.73634338,,8378,300,2016-04-08 08:17:00,41.8755616,-87.6244212
Strength Training,Marion,49006,3,Outdoors,39.70932007,-118.2574081,,2230,700,2016-04-08 08:17:00,32.7931661,-94.344488
Trade-In,Philadelphia,79068,3,Fan Shop,30.35012245,-118.1886444,,4163,700,2016-04-10 10:44:00,39.9527237,-75.1635262
Trade-In,San Francisco,40727,3,Fan Shop,34.1137352,-118.2774735,,3116,800,2016-04-10 10:44:00,37.7790262,-122.419906
