Order,Department ID,Best Coordinates,Best Shipping Mode,Shipping Days
1,2,"[(42.52627564, -70.92703247)]",Same Day,10
2,2,"[(42.26028061, -70.99477387)]",Same Day,6
3,2,"[(42.29163361, -71.06265259)]",Same Day,6
4,2,"[(42.52627564, -70.92703247)]",Same Day,7
5,2,"[(42.34962845, -71.15328217)]",Same Day,5
6,2,"[(42.34962845, -71.15328217)]",Same Day,8
7,2,"[(42.45111084, -73.25260162)]",Same Day,4
8,2,"[(42.77627945, -71.15115356)]",Same Day,1
9,2,"[(42.34962845, -71.15328217)]",Same Day,1
10,2,"[(47.68619156, -122.1272049)]",Same Day,7
11,2,"[(47.88882828, -122.2048111)]",Same Day,5
12,2,"[(47.67869949, -122.3217621)]",Same Day,4
13,2,"[(40.93545914, -73.8830719)]",Same Day,7
14,2,"[(42.06258011, -71.01766205)]",Same Day,2
15,2,"[(42.46523285, -70.93743134)]",Same Day,9
16,2,"[(42.46523285, -70.93743134)]",Same Day,3
17,2,"[(40.76358032, -73.83003998)]",Same Day,8
18,2,"[(42.52627564, -70.92703247)]",Same Day,9
19,2,"[(42.26028061, -70.99477387)]",Same Day,4
20,2,"[(42.41848373, -71.00032044)]",Same Day,10
21,2,"[(42.29163361, -71.06265259)]",Same Day,8
22,2,"[(42.39771652, -71.10455322)]",Same Day,9
23,2,"[(42.34962845, -71.15328217)]",Same Day,7
24,2,"[(42.41848373, -71.00032044)]",Same Day,2
25,2,"[(47.39371109, -122.2228317)]",Same Day,9
26,2,"[(42.77627945, -71.15115356)]",Same Day,10
27,2,"[(47.68619156, -122.1272049)]",Same Day,2
28,2,"[(42.46523285, -70.93743134)]",Same Day,8
29,2,"[(42.26028061, -70.99477387)]",Same Day,2
30,2,"[(42.28635407, -71.65921783)]",Same Day,4
